state,pos_percent,neg_percent
Minnesota,0.3333333333333333,0.6666666666666666
Ohio,0.0,1.0
Oregon,0.3333333333333333,0.3333333333333333
Texas,0.3,0.9
Pennsylvania,0.42857142857142855,0.5714285714285714
Washington,0.42857142857142855,0.8571428571428571
Illinois,0.6666666666666666,0.8333333333333334
Oklahoma,0.0,1.0
West Virginia,0.0,1.0
Missouri,1.0,0.0
Georgia,1.0,1.0
Michigan,0.5,1.0
Virginia,0.3333333333333333,0.6666666666666666
North Carolina,0.0,0.75
Wyoming,1.0,1.0
Kansas,1.0,1.0
New Jersey,0.42857142857142855,0.8571428571428571
Maryland,0.3333333333333333,1.0
Alabama,0.0,1.0
Arizona,0.3333333333333333,1.0
Iowa,0.0,1.0
Massachusetts,0.16666666666666666,0.6666666666666666
Kentucky,0.5,1.0
Mississippi,1.0,1.0
New Hampshire,0.0,1.0
Tennessee,0.0,1.0
Florida,0.6666666666666666,1.0
Indiana,0.5,0.5
California,0.3076923076923077,0.5384615384615384
New York,0.4,0.8
Wisconsin,0.3333333333333333,1.0
Colorado,0.6666666666666666,1.0
